 CAT,  YEAR, MO, DAY, ORIG_TIME,  LAT,  LON, DEP, MAG, IEFM, DTS, DIST
 PDE,   1985,   01, 27, 060606.56,   6.86,  -73.06, 159, 4.60, mb, GS,   .. .       
 PDE,   1985,   02, 03, 061215.49,   6.75,  -72.90, 171, 4.80, mb, GS,   .. .       
 PDE,   1985,   02, 03, 221655.55,   7.29,  -72.04,  33,     ,   ,   ,   .. .       
 PDE,   1985,   02, 06, 023210.46,   6.64,  -72.86, 171,     ,   ,   ,   .. .       
 PDE,   1985,   02, 06, 065012.64,   6.64,  -72.98, 172, 4.30, mb, GS,   .. .       
 PDE,   1985,   02, 06, 210128.61,   6.70,  -72.99, 168, 4.80, mb, GS,   .. .       
 PDE,   1985,   02, 13, 025433.18,  10.74,  -62.34,  97, 4.00, mb, GS,   3F .       
 PDE,   1985,   02, 14, 004745.25,   6.79,  -72.97, 165, 5.00, mb, GS,   .F .       
 PDE,   1985,   02, 14, 092853.57,   6.76,  -73.03, 163, 5.30, mb, GS,   .F .       
 PDE,   1985,   02, 15, 075022.82,   6.47,  -72.99, 170, 4.40, mb, GS,   .. .       
 PDE,   1985,   02, 23, 065011.16,   7.17,  -71.37,  33, 5.10, mb, GS,   .. .       
 PDE,   1985,   02, 25, 050340.26,   6.76,  -72.99, 166, 4.60, mb, GS,   .. .       
 PDE,   1985,   03, 01, 000121.33,   6.82,  -73.05, 136,     ,   ,   ,   .. .       
 PDE,   1985,   03, 01, 113824.98,   6.75,  -73.00, 165, 4.70, mb, GS,   .F .       
 PDE,   1985,   03, 12, 131947.70,   8.72,  -72.58,  33,     ,   ,   ,   .. .       
 PDE,   1985,   03, 26, 042815.43,  10.70,  -62.51, 168, 4.10, mb, GS,   .. .       
 PDE,   1985,   03, 29, 041254.50,   6.67,  -72.89, 168, 4.80, mb, GS,   .. .       
 PDE,   1985,   04, 04, 110358.26,   9.59,  -62.72,  33,     ,   ,   ,   .. .       
 PDE,   1985,   04, 05, 153019.79,  10.07,  -62.84,  33,     ,   ,   ,   .. .       
 PDE,   1985,   04, 10, 031515.64,   6.63,  -72.82, 184,     ,   ,   ,   .. .       
